college_code,college_name,branch_code,branch_name,status,home_university,seat_section,stage,category_code_raw,gender,category,disability,defense_quota,closing_rank,closing_percentile
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,I,GOPENS,Not Specified,OPEN,No,No,28216,91.7377622
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,I,GNT2S,Not Specified,NT-C,No,No,55787,83.2058578
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,I,GOBCS,Not Specified,OBC,No,No,44981,86.6751751
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,State Level,I,DEFOPENS,Not Specified,OPEN,No,Yes,27996,91.7968608
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,Autonomous Institute,State Level,I,GOPENS,Not Specified,OPEN,No,No,13465,96.1512986
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,Autonomous Institute,State Level,I,GNT2S,Not Specified,NT-C,No,No,24489,92.8770798
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,Autonomous Institute,State Level,I,LOPENS,Female,OPEN,No,No,15196,95.6356670
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,Autonomous Institute,State Level,I,EWS,Not Specified,EW,No,No,25512,92.5540912
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,Autonomous Institute,State Level,I,GOPENS,Not Specified,OPEN,No,No,25688,92.5218400
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,Autonomous Institute,State Level,I,GOBCS,Not Specified,OBC,No,No,28160,91.7513251
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,Autonomous Institute,State Level,I,GSEBCS,Not Specified,SEBC,No,No,50107,85.0571556
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,Autonomous Institute,State Level,I,LOBCS,Female,OBC,No,No,21656,93.7361801
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,Autonomous Institute,State Level,I,EWS,Not Specified,EW,No,No,62811,81.0133535
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,Autonomous Institute,State Level,I,GOPENS,Not Specified,OPEN,No,No,14458,95.8324651
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,Autonomous Institute,State Level,I,GSCS,Not Specified,SC,No,No,34764,89.8231024
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,Autonomous Institute,State Level,I,GVJS,Not Specified,NT-A,No,No,57875,82.4521073
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,Autonomous Institute,State Level,I,GSEBCS,Not Specified,SEBC,No,No,34019,90.0175917
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,Autonomous Institute,State Level,I,LOPENS,Female,OPEN,No,No,16085,95.3847746
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,Autonomous Institute,State Level,I,DEFRSEBC,Not Specified,SEBC,No,Yes,113654,61.6834321
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,Autonomous Institute,State Level,I,EWS,Not Specified,EW,No,No,33700,90.0917161
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,Autonomous Institute,State Level,I,GOPENS,Not Specified,OPEN,No,No,31618,90.6688280
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,Autonomous Institute,State Level,I,GVJS,Not Specified,NT-A,No,No,114704,60.9090909
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,Autonomous Institute,State Level,I,GOBCS,Not Specified,OBC,No,No,34378,89.8617670
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,Autonomous Institute,State Level,I,DEFOPENS,Not Specified,OPEN,No,Yes,174647,26.7336064
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,Autonomous Institute,State Level,I,EWS,Not Specified,EW,No,No,67532,79.6033896
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,Autonomous Institute,State Level,I-Non PWD,PWDOPENS,Not Specified,OPEN,Yes,No,35412,89.5868952
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,Autonomous Institute,State Level,I,GOPENS,Not Specified,OPEN,No,No,34696,89.8231024
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,Autonomous Institute,State Level,I,GNT3S,Not Specified,NT-D,No,No,57142,82.8372770
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,Autonomous Institute,State Level,I,LOPENS,Female,OPEN,No,No,35067,89.6827150
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,Autonomous Institute,State Level,I,TFWS,Not Specified,EWS,No,No,43009,87.3029561
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,Autonomous Institute,State Level,II,LSTS,Female,ST,No,No,134539,51.5716400
01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,Autonomous Institute,State Level,I-Non Defence,DEFOPENS,Not Specified,OPEN,No,Yes,39556,88.2544975
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Autonomous Institute,Home University,I,GOBCH,Not Specified,OBC,No,No,80909,76.7694659
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Autonomous Institute,Home University,I,LOBCH,Female,OBC,No,No,62939,82.2763176
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Autonomous Institute,Home University,I,GSCO,Not Specified,SC,No,No,38096,89.5766345
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Autonomous Institute,Home University,I,LOPENO,Female,OPEN,No,No,42343,88.3220112
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Autonomous Institute,Home University,I,GSEBCO,Not Specified,SEBC,No,No,45570,87.3714390
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Autonomous Institute,Home University,I,GOPENH,Not Specified,OPEN,No,No,150631,43.0314730
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Autonomous Institute,Home University,I,LOPENH,Female,OPEN,No,No,165438,33.0802795
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Autonomous Institute,Home University,VII,GSEBCH,Not Specified,SEBC,No,No,171133,29.2375397
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Autonomous Institute,Home University,I,GVJH,Not Specified,NT-A,No,No,103454,66.1695365
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,University Department,Autonomous Institute,Home University,I,LOPENH,Female,OPEN,No,No,180133,22.8214173
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,University Department,Autonomous Institute,Home University,I,LOBCH,Female,OBC,No,No,196887,7.9877752
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,University Department,Autonomous Institute,Home University,I,GOPENO,Not Specified,OPEN,No,No,165129,33.4650350
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Autonomous Institute,Home University,I,LOPENH,Female,OPEN,No,No,112652,62.0615406
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Autonomous Institute,Home University,I,LSCH,Female,SC,No,No,167133,32.3446384
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Autonomous Institute,Home University,VII,GSEBCH,Not Specified,SEBC,No,No,138091,49.7291102
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Autonomous Institute,Home University,I,GSCH,Not Specified,SC,No,No,148516,43.7443400
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Autonomous Institute,Home University,I,GOBCO,Not Specified,OBC,No,No,133438,52.3622324
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Autonomous Institute,State Level,I,TFWS,Not Specified,EWS,No,No,101966,66.4263323
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GOPENH,Not Specified,OPEN,No,No,117854,59.9607019
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GSCH,Not Specified,SC,No,No,122678,57.5410529
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GOBCH,Not Specified,OBC,No,No,123239,57.4017459
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,LOBCH,Female,OBC,No,No,138703,49.6043895
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,I-Non PWD,PWDOPENH,Not Specified,OPEN,Yes,No,116738,60.4221150
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GSEBCH,Not Specified,SEBC,No,No,136999,50.5909012
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GOPENO,Not Specified,OPEN,No,No,85414,73.2612864
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GSCO,Not Specified,SC,No,No,121797,57.8195751
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GNT2O,Not Specified,NT-C,No,No,161009,36.1161649
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GOBCO,Not Specified,OBC,No,No,91965,70.6189283
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GSEBCO,Not Specified,SEBC,No,No,130986,53.6771201
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,Home University,II,LSTO,Female,ST,No,No,132654,52.8806012
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,State Level,I,TFWS,Not Specified,EWS,No,No,93671,69.8941051
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University,State Level,I,EWS,Not Specified,EW,No,No,200442,4.3158445
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GOPENH,Not Specified,OPEN,No,No,55537,83.2103258
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GNT1H,Not Specified,NT-B,No,No,80948,74.9785452
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GNT2H,Not Specified,NT-C,No,No,63986,80.6021790
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GOBCH,Not Specified,OBC,No,No,62065,81.1324174
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,LOPENH,Female,OPEN,No,No,50678,84.8736599
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,LOBCH,Female,OBC,No,No,69223,78.6167398
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GOPENO,Not Specified,OPEN,No,No,38496,88.6328671
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GSCO,Not Specified,SC,No,No,58613,82.3322294
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GSEBCO,Not Specified,SEBC,No,No,68976,78.6729363
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,LOPENO,Female,OPEN,No,No,35701,89.4914664
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,LNT2O,Female,NT-C,No,No,174910,26.6274079
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,LOBCO,Female,OBC,No,No,82664,73.8000589
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,State Level,I,TFWS,Not Specified,EWS,No,No,47387,85.9011570
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,State Level,I,EWS,Not Specified,EW,No,No,94939,69.4561708
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University,State Level,VII,ORPHAN,Not Specified,OPEN,No,No,50611,84.8736599
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GOPENH,Not Specified,OPEN,No,No,79691,75.2107280
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GSCH,Not Specified,SC,No,No,128342,54.5872518
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GSTH,Not Specified,ST,No,No,198152,6.9235509
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GOBCH,Not Specified,OBC,No,No,93669,69.8941051
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,LOPENH,Female,OPEN,No,No,117188,60.3213757
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I-Non PWD,PWDOPENH,Not Specified,OPEN,Yes,No,99785,67.8210479
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GSEBCH,Not Specified,SEBC,No,No,107450,64.3453843
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GOPENO,Not Specified,OPEN,No,No,62090,81.1324174
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GVJO,Not Specified,NT-A,No,No,126416,55.6405756
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GNT2O,Not Specified,NT-C,No,No,109550,63.4714222
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GOBCO,Not Specified,OBC,No,No,91299,70.7504568
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University,Home University,I,GSEBCO,Not Specified,SEBC,No,No,120657,58.4401523
